Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         160000	         6	00100080	2ca0006f	jal	x0,10034a	  x0=0x00000000
         180000	         8	0010034a	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
         190000	         9	0010034e	8106	c.mv	x2,x1	  x0:0x00000000  x1:0x00000000  x2=0x00000000
         200000	        10	00100350	8186	c.mv	x3,x1	  x0:0x00000000  x1:0x00000000  x3=0x00000000
         210000	        11	00100352	8206	c.mv	x4,x1	  x0:0x00000000  x1:0x00000000  x4=0x00000000
         220000	        12	00100354	8286	c.mv	x5,x1	  x0:0x00000000  x1:0x00000000  x5=0x00000000
         230000	        13	00100356	8306	c.mv	x6,x1	  x0:0x00000000  x1:0x00000000  x6=0x00000000
         240000	        14	00100358	8386	c.mv	x7,x1	  x0:0x00000000  x1:0x00000000  x7=0x00000000
         250000	        15	0010035a	8406	c.mv	x8,x1	  x0:0x00000000  x1:0x00000000  x8=0x00000000
         260000	        16	0010035c	8486	c.mv	x9,x1	  x0:0x00000000  x1:0x00000000  x9=0x00000000
         270000	        17	0010035e	8506	c.mv	x10,x1	  x0:0x00000000  x1:0x00000000 x10=0x00000000
         280000	        18	00100360	8586	c.mv	x11,x1	  x0:0x00000000  x1:0x00000000 x11=0x00000000
         290000	        19	00100362	8606	c.mv	x12,x1	  x0:0x00000000  x1:0x00000000 x12=0x00000000
         300000	        20	00100364	8686	c.mv	x13,x1	  x0:0x00000000  x1:0x00000000 x13=0x00000000
         310000	        21	00100366	8706	c.mv	x14,x1	  x0:0x00000000  x1:0x00000000 x14=0x00000000
         320000	        22	00100368	8786	c.mv	x15,x1	  x0:0x00000000  x1:0x00000000 x15=0x00000000
         330000	        23	0010036a	8806	c.mv	x16,x1	  x0:0x00000000  x1:0x00000000 x16=0x00000000
         340000	        24	0010036c	8886	c.mv	x17,x1	  x0:0x00000000  x1:0x00000000 x17=0x00000000
         350000	        25	0010036e	8906	c.mv	x18,x1	  x0:0x00000000  x1:0x00000000 x18=0x00000000
         360000	        26	00100370	8986	c.mv	x19,x1	  x0:0x00000000  x1:0x00000000 x19=0x00000000
         370000	        27	00100372	8a06	c.mv	x20,x1	  x0:0x00000000  x1:0x00000000 x20=0x00000000
         380000	        28	00100374	8a86	c.mv	x21,x1	  x0:0x00000000  x1:0x00000000 x21=0x00000000
         390000	        29	00100376	8b06	c.mv	x22,x1	  x0:0x00000000  x1:0x00000000 x22=0x00000000
         400000	        30	00100378	8b86	c.mv	x23,x1	  x0:0x00000000  x1:0x00000000 x23=0x00000000
         410000	        31	0010037a	8c06	c.mv	x24,x1	  x0:0x00000000  x1:0x00000000 x24=0x00000000
         420000	        32	0010037c	8c86	c.mv	x25,x1	  x0:0x00000000  x1:0x00000000 x25=0x00000000
         430000	        33	0010037e	8d06	c.mv	x26,x1	  x0:0x00000000  x1:0x00000000 x26=0x00000000
         440000	        34	00100380	8d86	c.mv	x27,x1	  x0:0x00000000  x1:0x00000000 x27=0x00000000
         450000	        35	00100382	8e06	c.mv	x28,x1	  x0:0x00000000  x1:0x00000000 x28=0x00000000
         460000	        36	00100384	8e86	c.mv	x29,x1	  x0:0x00000000  x1:0x00000000 x29=0x00000000
         470000	        37	00100386	8f06	c.mv	x30,x1	  x0:0x00000000  x1:0x00000000 x30=0x00000000
         480000	        38	00100388	8f86	c.mv	x31,x1	  x0:0x00000000  x1:0x00000000 x31=0x00000000
         490000	        39	0010038a	00038117	auipc	x2,0x38	  x2=0x0013838a
         500000	        40	0010038e	c7610113	addi	x2,x2,-906	  x2:0x0013838a  x2=0x00138000
